anon_execute,arguments,authenticated_execute,definition_hash,name,returns,security_definer,service_execute,status
True,p_daily_cap_usd numeric,True,0e1a3676503c673f81c4245783de66de,autofix_budget_exhausted,boolean,False,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
True,p_source text,True,7907b8a44e51b6d8f1eba73c71774bb7,autofix_budget_exhausted,boolean,False,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
True,,True,1dfb7606b3f409ae8eb82b348682adec,autofix_is_paused,boolean,False,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,p_tournament_id uuid,False,e52b7be57404f160631a568f1016e153,balance_tournament_tables,integer,False,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,p_since timestamp with time zone,True,5c6356d3db6c6a5955001b2a8f9544d8,bbj_drift_since,"TABLE(booked numeric, received numeric, booked_rows bigint, received_rows bigint, unlinkable_rows bigint, unlinkable_chips numeric)",False,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,"p_table_id uuid, p_club_id uuid, p_hand_number integer, p_amount numeric, p_big_blind numeric, p_hand_id uuid",False,5b0494646f37d018603791a08a50b620,bbj_record_table_contribution,bbj_contributions,True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,"p_user_id uuid, p_cost integer",True,9257935338e558f4137da2e4562de788,buy_streak_freeze,jsonb,False,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,"p_user_id uuid, p_cost integer, p_request_id uuid",True,908cd2e9f4ee7333d4f5805bb0f33d8c,buy_streak_freeze,jsonb,True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,p_union_id uuid,True,79cb90482aa4af61ea4e6a286768efa4,ca_can_oversee_union,boolean,True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,"p_club_id uuid, p_limit integer",True,6e4702f9aa88dabc1e472a399df319f1,ca_club_activity,"TABLE(id text, activity_type text, message text, created_at timestamp with time zone, user_id uuid, display_name text, avatar_url text)",True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,"p_club_id uuid, p_limit integer, p_before timestamp with time zone, p_include_hand_rows boolean",True,2da327b47573b7313a9362b81c78b873,ca_club_chip_ledger,jsonb,True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,p_club_id uuid,True,654e65c84922fd7f3f83e0237cb4e125,ca_club_dashboard_stats,jsonb,True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,p_export_id uuid,True,2a58fdfcfb812dee2cc29fda9a40e510,ca_club_data_export_cancel,boolean,True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,"p_export_id uuid, p_offset integer, p_limit integer",True,06871acb855787c18692dce4d0f56dde,ca_club_data_export_page,jsonb,True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,"p_club_id uuid, p_start date, p_end date, p_game text, p_stakes text, p_search text, p_limit integer",True,a1d9602486f8ba5e5f0a87969642c8ab,ca_club_data_snapshot,jsonb,True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,"p_club_id uuid, p_start date, p_end date",True,ac1e093ddb297eb63ee8905d6c48229e,ca_club_financials,jsonb,True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,"p_club_id uuid, p_start date, p_end date, p_game text, p_stakes text, p_search text, p_sort text, p_cursor jsonb, p_limit integer",True,005fcf77ba241a357921edc029fdfc3c,ca_club_game_page,jsonb,True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,"p_club_id uuid, p_target_user_id uuid",True,d5f256cf7396f9758c956a824d608aa8,ca_club_grantable_roles,jsonb,True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,"p_club_id uuid, p_days integer",True,9bb9cbf8dbfaa17167690aa191a1f4bc,ca_club_insurance_report,jsonb,True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,"p_club_id uuid, p_user_id uuid, p_from date, p_to date",True,9da2de967380dd721ed1e6fa864df1ba,ca_club_member_detail,jsonb,True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,"p_club_id uuid, p_user_id uuid",True,861dfc051bc946722dadf28c45d3697c,ca_club_member_downline,"TABLE(user_id uuid, player_number text, alias text, username text, role text, role_rank integer, depth integer, chip_balance numeric, total_fees numeric, is_online boolean)",True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,"p_club_id uuid, p_target_user_id uuid, p_nickname text, p_remark text, p_request_id text",True,fe6e98d0dc102200131a897b0aee02d1,ca_club_member_notes_update,jsonb,True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,"p_club_id uuid, p_user_id uuid, p_variant text, p_from date, p_to date",True,fbdfb2174da3f0ab8ef59c46aa490b5e,ca_club_member_statistics,jsonb,True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,"p_club_id uuid, p_search text, p_since timestamp with time zone, p_limit integer, p_offset integer, p_sort text, p_role text",True,afe48d734122d1513f7c547e2511773c,ca_club_members,"TABLE(user_id uuid, display_name text, avatar_url text, is_horse boolean, is_online boolean, role text, status text, joined_at timestamp with time zone, last_active timestamp with time zone, chip_balance numeric, hands_played bigint, profit numeric, total_count bigint)",True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,"p_club_id uuid, p_search text, p_filter text, p_sort text, p_user_ids uuid[]",True,0bbab8e8c6c824a8f22b36d8ae38904b,ca_club_members_export,jsonb,True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,p_club_id uuid,True,a703400450774f24e0de89ce5053f5e1,ca_club_members_overview,"TABLE(user_id uuid, home_club_id uuid, home_club_name text, player_number text, alias text, username text, display_name text, avatar_url text, role text, role_rank integer, is_online boolean, is_seated boolean, chip_balance numeric, player_wallet numeric, agent_wallet numeric, promo_wallet numeric, total_fees numeric, downline_fees numeric, total_hands bigint, downline_direct integer, downline_total integer, upline_user_id uuid, upline_name text, joined_at timestamp with time zone, last_login timestamp with time zone, nickname text, remark text)",True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,"p_club_id uuid, p_search text, p_filter text, p_sort text, p_cursor jsonb, p_limit integer",True,7d79a33da2d276056ca06f75d4130b2b,ca_club_members_page,jsonb,True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,p_club_id uuid,True,784a8511f0d5f60838ba9ddf35beadc5,ca_club_members_summary,jsonb,True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,p_club_id uuid,True,89ee7baab58f8881674efe56469498ee,ca_club_operations_overview,jsonb,True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,"p_club_id uuid, p_start date, p_end date, p_limit integer",True,283858d1274095f0a61103d745f7c34b,ca_club_player_breakdown,jsonb,True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,"p_club_id uuid, p_start date, p_end date, p_sort text, p_search text, p_cursor jsonb, p_limit integer",True,980556d672f194b1b190e379d75321bb,ca_club_player_page,jsonb,True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,"p_club_id uuid, p_days integer",True,d5e220abdab0b5f610fc52a21127ec08,ca_club_revenue,jsonb,True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,"p_club_id uuid, p_limit integer",True,9b88cd08701102eb8b0b689daa151f3a,ca_club_tables,jsonb,True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,"p_club_id uuid, p_since timestamp with time zone, p_limit integer, p_sort text",True,f7230ca6476ee1dbc3ea98415e882850,ca_club_top_players,"TABLE(user_id uuid, display_name text, avatar_url text, is_horse boolean, hands_played bigint, hands_attributed bigint, hands_won bigint, total_won numeric, profit numeric, biggest_pot_won numeric, win_rate numeric)",True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,"p_club_id uuid, p_limit integer, p_days integer",True,eeeb0c51e9459996dd5a9187d47bcc10,ca_club_tournaments,jsonb,True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,"p_club_id uuid, p_limit integer",True,5df539b6f2c74972fa30cfbcbe9f9528,ca_club_union_invoices,jsonb,True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,"p_user uuid, p_mode text, p_limit integer",True,21843b8f7f595e236f5693c4ffb1895d,ca_player_hands_v2,jsonb,True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,"p_user uuid, p_days integer, p_tz text",True,00958f66317d7bf0b968eeaf941ee25d,ca_player_stats_overview_v2,jsonb,True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,p_user uuid,True,597a71ba51fa1275215f58ccbcc0e743,ca_player_stats_pulse,jsonb,True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,"p_club_id uuid, p_item_key text, p_quantity integer",True,6a4f1c997660e0de3ea9948a9422bc70,ca_promo_vault_buy,jsonb,True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,p_club_id uuid,True,021d5fd4910e83803c8cd54671eeedce,ca_promo_vault_catalog,"TABLE(item_key text, category text, label text, description text, duration_days integer, pack_size integer, tier text, diamond_cost integer, icon_key text, sort_order integer, quantity integer)",True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,"p_club_id uuid, p_item_key text, p_recipient_user_id uuid, p_quantity integer, p_note text",True,d7551e3124b5a699334f47466c28957b,ca_promo_vault_grant,jsonb,True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,"p_club_id uuid, p_item_key text, p_recipient_user_id uuid, p_quantity integer, p_note text, p_op_id uuid",True,ac7662e3d8dd8a2363dbdc798abb9c41,ca_promo_vault_grant,jsonb,True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,"p_club_id uuid, p_limit integer",True,0fb4a7881c69275fae7468cede209121,ca_promo_vault_records,"TABLE(id uuid, created_at timestamp with time zone, action text, item_key text, item_label text, item_category text, item_duration_days integer, quantity integer, diamonds_spent integer, actor_user_id uuid, actor_name text, recipient_user_id uuid, recipient_name text, recipient_player_number text, note text)",True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,"p_scope text, p_club_id uuid, p_union_id uuid, p_start date, p_end date, p_agent_user_id uuid, p_limit integer, p_offset integer, p_search text, p_sort text",True,88ea972f7629aff56a3e6bf4d54e8606,ca_rake_snapshot,jsonb,True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,,False,d04a19c66ebd132a89fa305cc8b5ed52,ca_stats_health,jsonb,True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,"p_union_id uuid, p_days integer",True,dfa2466bd1498940c502f31d563e6d0a,ca_union_insurance_pnl,jsonb,True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,"p_union_id uuid, p_club_id uuid, p_amount numeric, p_method text, p_reference text, p_note text",True,693497ac17fae9b9ed089cd9c15aedb4,ca_union_record_presettlement,jsonb,True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,"p_invoice_id uuid, p_paid boolean, p_amount numeric, p_note text",True,f4e452991f7a3618c83267a48ad7bd55,ca_union_set_statement_paid,jsonb,True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,"p_union_id uuid, p_period_end date, p_history integer",True,da45725eb84688e0c135672e605d7a9b,ca_union_statement_board,jsonb,True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,"p_period_id uuid, p_agent_id uuid",True,ea1e585cbe3e768e346dfdef8a9d7caf,calculate_agent_settlement,jsonb,True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,"p_agent_id uuid, p_period_id uuid",True,e426da164a857284fb37cc38b3dc3451,calculate_agent_spread,jsonb,True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,"p_hand_id uuid, p_club_id uuid, p_player_user_id uuid, p_rake_amount numeric, p_rake_record_id uuid, p_table_id uuid",True,55b5d60335a28bb1ceb3131485681c18,calculate_cascading_commission,jsonb,False,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
True,p_min integer,True,1cbddfd86a63f3d78dc45b854858adde,cash_tables_needing_engine,"TABLE(table_id uuid, player_count bigint, human_count bigint)",False,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,"p_user_id uuid, p_challenge_row_ids uuid[], p_request_id uuid",True,db19edbbafd85c55a6ae1f5e5acbeb2f,claim_daily_challenges,jsonb,True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,"p_instance_id text, p_version text, p_stale_seconds integer",False,935c9d79f348a7cd1adf27d1a5b1ebc6,claim_engine_leadership,"TABLE(granted boolean, holder text, holder_age_seconds numeric)",True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,"p_table_id uuid, p_instance_id text, p_version text, p_requested_generation uuid, p_stale_seconds integer",False,469462c8b26a2d0dc655fe2da1fb5c79,claim_table_lease_v2,"TABLE(granted boolean, holder text, holder_age_seconds numeric, lease_generation uuid, protocol_version integer)",True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,"p_tournament_id uuid, p_instance_id text, p_version text, p_requested_generation uuid, p_stale_seconds integer",False,56951cb7bdd386f644d346a06ea37f93,claim_tournament_lease_v2,"TABLE(granted boolean, holder text, holder_age_seconds numeric, lease_generation uuid, protocol_version integer)",True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,"p_table_id uuid, p_hand_number integer",False,dd69801c4d64338a2d20ce8b4b60641c,complete_hand_snapshot,void,False,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,"p_club_id uuid, p_amount numeric",False,a50fa777f155b9004a0157b0384143be,credit_club_rake_to_treasury,void,False,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,"p_club_id uuid, p_rake numeric, p_bbj numeric, p_hand_id uuid, p_hand_number integer",False,5bdfcb622f87e79fba9e11514ca1c50a,credit_club_wallet_rake,void,True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,"p_user_id uuid, p_amount numeric, p_idempotency_key text",False,cf683973d25c4e34229c57d3e640f6f8,credit_player_wallet,void,False,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,"p_user_id uuid, p_amount numeric",False,d9e66bb94ca4e1d895dc80d8ba0e27d1,deduct_player_wallet,void,False,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,"p_club_id uuid, p_threshold numeric, p_min_hands integer",True,171c136361a21d635bbcc249ca107169,detect_collusion_pairs,jsonb,True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,"p_club_id uuid, p_limit integer",True,d1db797c75c9a9e272f8c14466328658,detect_suspicious_plays,"TABLE(hand_id uuid, player_id uuid, hand_rank text, pot_total numeric, completed_at timestamp with time zone, severity text)",True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,"p_user_id uuid, p_achievement_id text, p_progress numeric, p_target numeric",True,a7a3141b2ab6edb3a6b557e245ec0146,fn_achievement_record_progress,boolean,True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,"p_tournament_id uuid, p_table_ids uuid[]",False,2441863311de38e8b4edc471200a222b,fn_ack_tournament_capacity_tables,jsonb,True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,"p_tournament_id uuid, p_wake_ids bigint[], p_wake_generations bigint[]",False,4e948510fa754f68323981b245ffa0ae,fn_ack_tournament_manager_wakes,jsonb,True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,"p_report_id uuid, p_status text, p_admin_notes text",True,5d6d01014ffd1ce2a22e31afc49d14d1,fn_action_player_report,jsonb,True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,,True,c625dd8c8d9f17c557d2b1f0489cbd6b,fn_admin_horse_fleet_counts,jsonb,True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,"p_table_id uuid, p_user_id uuid, p_reason text",True,513389f0cac8712718f2e620cfc4cf28,fn_admin_kick_player,jsonb,True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,p_since timestamp with time zone,True,f73aaab39a800e54b1ea34d35594c5f3,fn_admin_platform_aggregates,"TABLE(total_hands bigint, active_players bigint, total_rake numeric, vip_diamonds bigint, live_players bigint)",True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,"p_club_id uuid, p_player_id uuid, p_amount numeric, p_reason text, p_op_id uuid",True,69a29a62f82b40dd1414207888a992a4,fn_admin_remove_player_chips,jsonb,True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,"p_agent_id uuid, p_status text, p_role text, p_credit_limit numeric, p_commission_rate numeric, p_player_rakeback_rate numeric, p_assigned_by uuid, p_credit_reason text, p_is_prepaid boolean",True,d1ce4c9a2245cc60f6d02481ee73db52,fn_admin_update_agent,jsonb,True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,"p_club_id uuid, p_agent_user_id uuid, p_player_id uuid",True,f6af5f81cce337123d4aa56df4f04cfa,fn_agent_attach_player,jsonb,True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,"p_club_id uuid, p_op_id uuid, p_max_rows integer",True,bcb8ff3ffb25d8b6a9e1537845050fdd,fn_agent_claim_commission,jsonb,True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,p_club_id uuid,True,12ea17703c4362a6c2499a8afba59f50,fn_agent_downline_commission,jsonb,True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,"p_agent_user_id uuid, p_club_id uuid, p_since timestamp with time zone, p_until timestamp with time zone, p_search text, p_limit integer",True,1bf9f0db76d063512cf9945493cc2342,fn_agent_downline_rake,"TABLE(player_id uuid, username text, club_id uuid, club_name text, role text, depth integer, upline_user_id uuid, upline_name text, rake_generated numeric, hands bigint, last_hand_at timestamp with time zone, downline_players integer, downline_rake numeric)",True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,"p_agent_user_id uuid, p_club_id uuid, p_since timestamp with time zone, p_until timestamp with time zone",True,a10152cf125e6a06b82e83ebd5aee738,fn_agent_downline_rake_summary,jsonb,True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,"p_agent_user_id uuid, p_since timestamp with time zone, p_until timestamp with time zone",True,d15425d2bb433c5411ea6ae3666b8f5d,fn_agent_roster_report,"TABLE(player_id uuid, username text, club_id uuid, club_name text, buyins numeric, cashouts numeric, net_result numeric, rake_generated numeric, agent_commission numeric, chip_balance numeric, credit_used numeric, currently_seated boolean)",True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,"p_club_id uuid, p_user_id uuid",True,789ae8840a616364e601abb4472b8252,fn_agent_unsettled_commission,numeric,True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,"p_club_id uuid, p_transaction_id uuid, p_amount numeric, p_reason text, p_op_id uuid",True,31d05a227849bda2a1195594c57b90eb,fn_agent_wallet_claim_back,jsonb,True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,p_club_id uuid,True,61b3478f0332f8ee7945d6eb2810bb71,fn_agent_wallet_reversible,"TABLE(transaction_id uuid, to_user_id uuid, to_name text, amount numeric, claimed_back numeric, remaining numeric, destination text, created_at timestamp with time zone, reversible_until timestamp with time zone, seconds_left integer)",True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,"p_club_id uuid, p_to_user_id uuid, p_amount numeric, p_destination text, p_reason text, p_op_id uuid",True,0214036f29a6d121842496c91c7912af,fn_agent_wallet_send,jsonb,True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,"p_agent_user_id uuid, p_period_start timestamp with time zone, p_period_end timestamp with time zone",True,964d9f6523ea3901feef5692501a7d40,fn_agent_weekly_statement,jsonb,True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,"p_street text, p_batch integer",False,8aca131ad7924ce97caa8da0706c6ab1,fn_aggregate_gto_street_next,"TABLE(processed integer, new_last_id uuid, street_done boolean)",True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,p_batch integer,False,dcda79d36c2cde41006c0705cf578263,fn_aggregate_gto_v31_next,"TABLE(processed integer, last_at timestamp with time zone, last_id uuid, is_done boolean)",True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,"p_invoice_id uuid, p_amount numeric, p_method text",True,0f5fc9b1264dd3c20b353677fe210abc,fn_apply_credit_payment,jsonb,True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,"p_tournament_id uuid, p_config jsonb",True,d36d5e973de88381dbe6124982f0e401,fn_apply_mystery_bounty_config,jsonb,True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,"p_tournament_id uuid, p_source text",False,01391e2b1a4bf19e0ababdb14e99613c,fn_apply_prize_guarantee,jsonb,True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,p_items jsonb,False,ac2b4515198a0fe4bd327dfc030f506a,fn_apply_rakeback_player_stats_batch,jsonb,True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,"p_agent_user_id uuid, p_super_agent_user_id uuid, p_club_id uuid",True,13f6d2408d152e7d15a8b3b0bf113a9f,fn_assign_agent_to_super_agent,jsonb,True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,,False,26958b337c1b5152727d3a05d322ff1f,fn_assign_horse_lanes,jsonb,True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,"p_min_hands integer, p_hysteresis_pct numeric",False,9cadfa1a332d4e2401afdc3f4ddf9c08,fn_assign_horse_stake_bands,"TABLE(band text, horses integer)",True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,"p_player_user_id uuid, p_agent_user_id uuid, p_club_id uuid",True,882408b533e45efcf04ca79d35b8b1d3,fn_assign_player_to_agent,jsonb,True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,"p_limit integer, p_dry_run boolean",False,250b02e5ce9844e7b98665f1c6092406,fn_backfill_bomb_pot_award_units,"TABLE(hands_considered bigint, hands_written bigint, units_written bigint, hands_skipped bigint, skip_reason text)",True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,"p_apply boolean, p_limit integer, p_since_hours integer",False,299a4cd1ffa12d67929ce8cbd858ab9d,fn_backpay_spin_unpaid_winners,jsonb,True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,p_limit integer,False,93211a9b37aeb8e4af8d308c6248163c,fn_backpay_tournament_rake_attribution,jsonb,True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,p_club_ids uuid[],True,05609f5e8e216ff384cd1d9debcd86fd,fn_batch_club_member_counts,"TABLE(club_id uuid, member_count bigint)",True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,p_club_ids uuid[],True,79c5b5e35412b09814fee84331a949cb,fn_batch_club_realtime_active_counts,"TABLE(club_id uuid, active_count bigint)",True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,p_club_ids uuid[],True,023ca8a214b9ee9bb3af0bb7403d4b5e,fn_batch_club_realtime_member_counts,"TABLE(club_id uuid, member_count bigint)",True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,p_union_ids uuid[],True,d6d4ee5fd21ea19ef93c874549078b08,fn_batch_union_realtime_active_counts,"TABLE(union_id uuid, active_count bigint)",True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,p_union_ids uuid[],True,4fb5e42ab814bef27dbcc90a36ee4d13,fn_batch_union_realtime_member_counts,"TABLE(union_id uuid, member_count bigint)",True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,p_pool_id uuid,True,2ca878b09e6f095fcfd2b525822173e9,fn_bbj_analytics,"TABLE(main_balance numeric, backup_balance numeric, promo_balance numeric, contributions_24h numeric, contributions_7d numeric, contributions_30d numeric, hands_24h bigint, hands_7d bigint, total_contributed_all_time numeric, hit_count bigint, total_paid_all_time numeric, biggest_hit numeric, last_hit_at timestamp with time zone, avg_days_between_hits numeric, days_since_last_hit numeric, net_pool_position numeric)",True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,"p_table_id uuid, p_hand_number bigint",False,ea5d096ab170d474d2511e08952acaec,fn_bbj_claim_drill,jsonb,True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
