forced_rls,kind,name,policy_count,rls,trigger_count,status
False,r,action_audit_logs,1,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,hand_projection_outbox,0,True,1,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
True,r,hand_state_snapshots,1,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,horse_bug_reports,2,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,horse_daily_audit,0,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,horse_daily_nets,0,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,horse_daily_play,0,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,horse_data_ledger,0,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,horse_hand_reviews,0,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,horse_job_runs,0,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,horse_league_results,0,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,horse_mind_pairs,0,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,horse_mind_stats,0,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,horse_mind_stats_scoped,0,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,horse_review_rollup,0,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,horse_self_tune_log,0,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,insurance_offer_events,0,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,insurance_transactions,1,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,memory_charts_gold,2,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,messages,3,True,1,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,notifications,4,True,3,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,pending_fee_distributions,0,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,player_notes,4,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,player_position_stats,1,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,v,player_sessions,0,False,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,player_stats,2,True,1,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,profiles,4,True,20,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,promotion_claims,2,True,1,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,promotion_leaderboards,1,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,promotions,2,True,1,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,rabbit_hunt_reveals,1,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,rake_attributions,2,True,3,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,rake_rate_audit,2,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,rake_records,3,True,9,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,rakeback_periods,2,True,1,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,referral_codes,2,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,referral_redemptions,1,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,referrals,3,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,session_history,2,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,settlement_idempotency_keys,1,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,settlement_invoices,2,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,settlement_locks,1,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,settlement_periods,3,True,2,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,seven_deuce_bounties,1,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,spin_bonus_pools,2,True,4,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,spin_reserve_ledger,1,True,1,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,stable_hand_beats,0,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,stable_hand_horse_state,0,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,stable_hand_membership_tags,0,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,sub_agents,3,True,2,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,table_activity,1,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,table_chat,2,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,table_hole_cards,4,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,table_pending_addons,0,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,table_seats,3,True,28,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,table_templates,1,True,1,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,table_waitlist,3,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,tables,5,True,22,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,theme_asset_unlocks,1,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,theme_unlocks,2,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,throw_usage,2,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,tournament_bounties,1,True,2,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,tournament_bounty_award_recipients,0,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,tournament_bounty_awards,0,True,3,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,tournament_bounty_chests,0,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,tournament_bounty_obligations,0,True,1,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,tournament_deal_votes,3,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,tournament_final_table_deal_receipts,0,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,tournament_finish_receipts,0,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,tournament_manager_wakes,0,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,tournament_obligations,0,True,2,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,tournament_payouts,2,True,3,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,tournament_players,1,True,22,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,tournament_registration_approvals,3,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,tournament_schedule_spawns,2,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,tournament_schedules,2,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,tournament_tickets,1,True,1,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,tournament_waitlists,4,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,tournaments,5,True,46,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,training_user_achievements,0,True,1,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,union_admins,2,True,1,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,union_announcements,1,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,union_clubs,2,True,8,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,union_pnl_settlements,2,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,union_rakeback_log,1,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,union_settlement_rounds,1,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,union_wallet_transactions,1,True,2,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,union_wallets,2,True,3,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,unions,3,True,8,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,user_avatars,3,True,1,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,user_blocks,1,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,user_daily_challenges,1,True,4,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,user_daily_rewards,1,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,user_feedback,2,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,user_lobby_filters,4,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,user_lucky_wheel_spins,1,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,user_notification_preferences,1,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,user_reports,3,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,user_table_settings,3,True,1,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,user_table_studio_preferences,3,True,1,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,user_theme_settings,4,True,2,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,users,2,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,v,v_agent_commissions,0,False,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,v,v_spin_tier_availability,0,False,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,vip_feature_usage_monthly,1,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,vip_points,1,True,1,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,vip_reward_catalog,1,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,wallet_transactions,1,True,6,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,wallets,3,True,4,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
